"","NSD1","NSD2","NSD3","NSD4","NSD5","NSD6","NSD7","NSD8","NSD9","SD1","SD2","SD3","SD4","SD5","SD6","SD7","SD8","SD9"
"ENSMUSG00000102693.1",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064842.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951.5",3316,3547,3847,3611,3872,4947,3275,4325,3030,3816,3518,3430,3178,4713,2459,3696,3492,3872
"ENSMUSG00000102851.1",15,18,28,18,10,26,14,18,10,19,20,13,20,15,7,11,10,9
"ENSMUSG00000103377.1",288,222,315,226,233,283,202,278,226,211,234,273,273,292,149,164,170,181
"ENSMUSG00000104017.1",134,122,127,92,92,116,103,112,88,87,101,113,115,131,58,69,73,113
"ENSMUSG00000103025.1",45,52,64,45,32,61,48,45,41,57,43,57,80,71,32,42,44,41
"ENSMUSG00000089699.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103201.1",80,64,83,61,45,75,62,67,56,70,67,79,75,99,37,75,46,31
"ENSMUSG00000103147.1",56,53,89,48,48,48,50,60,36,43,59,79,67,63,26,37,43,31
"ENSMUSG00000103161.1",110,92,144,116,83,125,108,122,86,104,92,108,90,133,51,97,102,70
"ENSMUSG00000102331.1",227,231,294,220,163,241,260,222,172,251,225,223,259,306,121,138,178,162
"ENSMUSG00000102348.1",3,4,4,4,8,2,6,2,2,2,3,3,1,6,7,5,4,6
"ENSMUSG00000102592.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088333.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102343.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ENSMUSG00000025900.12",18,22,10,13,19,10,14,10,7,13,8,22,20,18,11,14,12,38
"ENSMUSG00000102948.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104123.1",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025902.13",105,141,145,101,121,161,85,136,64,110,127,96,115,116,47,85,115,96
